Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,Original_index,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,"Michaelos: (D,)",2.8677685950413223,0.7073002754820936,191.0,1.0,114,0.6542699724517906,0.05303030303030303,0.15358126721763085,0.13911845730027547,0.9078436275729401,0,0.3890902751526105,0
1,"First by Tideman and Chieruzzi: (D, D)",2.840082644628099,0.6488980716253444,200.0,1.0,71,0.5933884297520661,0.05550964187327824,0.17754820936639118,0.17355371900826447,0.8945392136314143,0,0.44634662956091525,0
2,"EugineNier: (D,)",2.8392561983471074,0.762258953168044,172.0,1.0,47,0.6809917355371902,0.081267217630854,0.13911845730027547,0.09862258953168045,0.8977384174920675,0,0.9112726098191214,0
3,"Alexei: (D,)",2.8355371900826447,0.765426997245179,169.0,1.0,9,0.6811294765840221,0.08429752066115702,0.13980716253443526,0.09476584022038567,0.897903242858486,0,0.9417958656330749,0
4,Evolved FSM 6,2.8144628099173556,0.8239669421487603,34.0,1.0,55,0.7520661157024794,0.071900826446281,0.09366391184573003,0.08236914600550964,0.9695397833514752,0.41368729309905783,0.8280345471521943,0.20698641636141635
5,Evolved FSM 16,2.806611570247934,0.8214876033057851,38.0,1.0,52,0.7359504132231405,0.08553719008264463,0.10399449035812673,0.07451790633608817,0.936015712326226,0.45773338979860706,0.8323734666280306,0.48462295280477097
6,EvolvedLookerUp1_1_1,2.806611570247934,0.7764462809917355,50.0,1.0,57,0.7059228650137741,0.07052341597796143,0.11680440771349862,0.10674931129476584,0.982661528656952,0,0.8878088414853121,0
7,MEM2,2.8012396694214874,0.768595041322314,50.0,1.0,112,0.7163911845730028,0.0522038567493113,0.10468319559228649,0.12672176308539945,0.9969930922389273,0.4101190476190476,0.5979242979242979,0
8,"First by Stein and Rapoport: 0.05: (D, D)",2.794214876033058,0.7337465564738292,168.0,1.0,70,0.6433884297520661,0.09035812672176308,0.14972451790633606,0.11652892561983469,0.884870330817675,0.6481539856539856,0.6314625850340138,0
9,"Stalker: (D,)",2.7921487603305786,0.7976584022038568,158.0,1.0,182,0.7019283746556474,0.09573002754820938,0.12134986225895317,0.0809917355371901,0.8760516213396963,0.5301811546296841,0.8555870496346687,0.352994227994228
10,"Limited Retaliate: 0.1, 20",2.7884297520661154,0.724931129476584,59.0,1.0,109,0.6847107438016529,0.040220385674931136,0.11446280991735537,0.1606060606060606,1.0,0,0,0
11,Tricky Level Punisher,2.7859504132231407,0.718732782369146,60.0,1.0,196,0.6778236914600551,0.04090909090909091,0.11611570247933885,0.16515151515151516,1.0,0,0,0
12,Spiteful Tit For Tat,2.785537190082645,0.8,29.0,1.0,180,0.7234159779614325,0.0765840220385675,0.10303030303030303,0.09696969696969697,1.0,0,0.9337698412698413,0
